779,94,Follett Ken,Il volo del calabrone,Thriller,Thriller
780,95,Follett Ken,Le gazze ladre,Thriller,Thriller spionaggio
781,96,Follett Ken,Il terzo gemello,Thriller,Thriller spionaggio
782,97,Follett Ken,Sulle ali delle aquile,Thriller,Thriller spionaggio
783,98,Follett Ken,L'uomo di Pietroburgo,Thriller,Thriller spionaggio
784,99,Follett Ken,Una fortuna pericolosa,Thriller,Thriller spionaggio
785,100,Follett Ken,Il martello dell'Eden,Thriller,Thriller spionaggio
786,101,Follett Ken,Codice a zero,Thriller,Thriller spionaggio
787,102,Follett Ken,Un luogo chiamato libertà,Thriller,Thriller spionaggio
788,103,Follett Ken,Nel bianco,Thriller,Thriller spionaggio
789,104,Follett Ken,Un mondo senza fine,Narrativa straniera,Narrativa
790,105,Follett Ken,I pilastri della terra,Narrativa straniera,Narrativa
791,106,Follett Ken,La caduta dei giganti,Narrativa straniera,Narrativa
792,107,Fossum Karin,Amatissima Poona,Thriller,Thriller
793,108,Forsyth Frederick,Il vendicatore,Thriller,Thriller
794,109,Forsyth Frederick,L'afghano,Thriller,Thriller
795,110,Forsyth Frederick,Il pugno di Dio,Thriller,Thriller
796,111,Forsyth Frederick,Icona,Thriller,Thriller
797,112,Forsyth Frederick,Il fantasma di Manhattan,Thriller,Thriller
798,113,Freeman Brian,La danza delle falene,Thriller,Thriller
799,114,Frey Stephen,Il santuario,Thriller,Thriller
800,115,George Elizabeth,Prima di ucciderla,Thriller,Thriller
801,116,George Elizabeth,Nessun testimone,Thriller,Thriller
802,117,Goodman Carol,Il lago delle lingue morte,Thriller,Thriller
803,118,Goodman Carol,La seduzione dell'acqua,Thriller,Thriller
804,119,Gordon Noah,La clinica,Thriller,Thriller
805,120,Grafton Sue,O come omicidio,Thriller,Thriller
806,121,Grafton Sue,Q come Quore,Thriller,Thriller
807,122,Grangè Jean Christophe,Il concilio di pietra,Thriller,Thriller
808,123,Duffy Stella,La settima onda,Thriller,Thriller
809,124,Grisham John,L'allenatore,Narrativa straniera,Narrativa
810,125,Grisham John,Il re dei torti,Thriller,Legal thriller
811,126,Grisham John,Il testamento,Thriller,Legal thriller
812,127,Grisham John,Innocente,Thriller,Legal thriller
813,128,Grisham John,La convocazione,Thriller,Legal thriller
814,129,Grisham John,L'uomo della pioggia,Thriller,Legal thriller
815,130,Grisham John,I confratelli,Thriller,Legal thriller
816,131,Gutman Amy,Morte sospetta,Thriller,Thriller
817,132,Hall James W.,Onda nera,Thriller,Thriller
818,133,Hall James W.,L'alfabeto dei corpi,Thriller,Thriller
819,134,Hall James W.,Scritto col sangue,Thriller,Thriller
820,135,Hamilton Laurell K.,Il circo dei dannati,Thriller,Thriller fantasy
821,136,Harper Tom,Mosaico d'ombre,Thriller,Thriller storico
822,137,Hartley Andrew James,Il progetto Atreus,Thriller,Thriller storico
823,138,Harris Robert,Archangel,Thriller,Thriller
824,139,Harris thomas,Il silenzio degli innocenti,Thriller,Thriller
825,140,Harris Thomas,Hannibal,Thriller,Thriller
826,141,Harris Thomas,Black Sunday,Thriller,Thriller
827,142,Harstad Donald,Codice di sangue,Thriller,Thriller
828,143,Higgins Clark Mary,Due bambine in blu,Thriller,Thriller
829,144,Higgins Clark Mary,La seconda volta,Thriller,Thriller
830,145,Higgins Clark Mary,Vendetta sotto le stelle,Thriller,Thriller
831,146,Higgins Clark Mary,Il biglietto vincente,Thriller,Thriller
832,147,Higgins Clark Mary,Una luce nella notte,Thriller,Thriller
833,148,Higgins Clark Mary,Prima di dirti addio,Thriller,Thriller
834,149,Higgins Clark Mary,Sapevo tutto di lei,Thriller,Thriller
835,150,Higgins Clark Mary,La figlia prediletta,Thriller,Thriller
836,151,Higgins Clark Mary,Il ladro di Natale,Thriller,Thriller
837,152,Higgins Clark Mary,La notte mi appartiene,Thriller,Thriller
838,153,Higgins Clark Mary,Un colpo al cuore,Thriller,Thriller
839,154,Higgins Clark Mary,L'appuntamento mancato,Thriller,Thriller
840,155,Higgins Clark Mary,Ti ho guardato dormire,Thriller,Thriller
841,156,Hoag Tami,Giustizia negata,Thriller,Thriller
842,157,Hjortsberg William,Ascensore per l'inferno,Thriller,Thriller
843,158,Katz Molly,Nessuno mi crede,Thriller,Thriller
844,159,Kernick Simon,La carne di Londra,Thriller,Thriller
845,160,King Stephen,La tempesta del secolo,Thriller,Horror
846,161,King Stephen,On writing,Thriller,Horror
847,162,King Stephen,La casa del buio,Thriller,Horror
848,163,King Stephen,Buick 8,Thriller,Horror
849,164,King Stephen,I lupi del Calla,Thriller,Horror
850,165,King Stephen,La canzone di Susannah,Thriller,Horror
851,166,King Stephen,La storia di Lisey,Thriller,Horror
852,167,King Stephen,La torre nera,Thriller,Horror
853,168,King Stephen,L'acchiappasogni,Thriller,Horror
854,169,King Stephen,La bambina che amava Tom Gordon,Thriller,Horror
855,170,King Stephen,Dolores Claiborne,Thriller,Horror
856,171,King Stephen,Cuori in Atlantide,Thriller,Horror
857,172,King Stephen,Mucchio d'ossa,Thriller,Horror
858,173,King Stephen,Incubi e deliri,Thriller,Horror
859,174,King Stephen,Le notti di Salem,Thriller,Horror
860,175,King Stephen,Duma Key,Thriller,Horror
861,176,King Stephen,Colorado Kid,Thriller,Horror
862,177,King Stephen,Il miglio verde,Narrativa,Drammatico
863,178,King Stephen,Rose Madder,Thriller,Horror
864,179,Gangemi Joseph,L'occultista,Thriller,Thriller storico
865,180,King Stephen,La metà oscura,Thriller,Horror
866,181,King Stephen,Insomnia,Thriller,Horror
867,182,Kurtz Katerine,Il tempio e la corona,Thriller,Thriller storico
868,183,Jakeman Jane,Il regno delle nebbie,Thriller,Thriller
869,184,James P.D.,Morte di un medico legale,Thriller,Thriller
870,185,James P.D.,Una certa giustizia,Thriller,Thriller
871,186,James P.D.,Copritele il volto,Thriller,Thriller
872,187,James P.D.,Per cause innaturali,Thriller,Thriller
873,188,James P.D.,Brividi di morte per l'ispettore Dalgliesh,Thriller,Thriller
874,189,James P.D.,La stanza dei delitti,Thriller,Thriller
875,190,James P.D.,Morte in seminario,Thriller,Thriller
876,191,Jecks Michael,Il patibolo dell'abate,Thriller,Thriller
877,192,Jolowicz Philip,Le torri del silenzio,Thriller,Thriller
878,193,Iles Greg,L'uomo che rubava la morte,Thriller,Thriller
879,194,Lapierre Dominique,New York brucia?,Thriller,Thriller
880,195,Lackberg Camilla,La principessa di ghiaccio,Thriller,Thriller
881,196,Lackberg Camilla,Il predicatore,Thriller,Thriller
882,197,Larsson Asa,Il sangue versato,Thriller,Thriller
883,198,Larsson Stieg,Uomini che odiano le donne,Thriller,Thriller
884,199,Larsson Stieg,La regina dei castelli di carta,Thriller,Thriller
885,200,Larsson Stieg,La ragazza che giocava col fuoco,Thriller,Thriller
886,201,Laurie Hugh,Il venditore di armi,Thriller,Thriller
887,202,Leather Stephen,Tango one,Thriller,Thriller
888,203,Le Carrè John,Il giardiniere tenace,Thriller,Thriller
889,204,Le Carrè John,Il canto della missione,Thriller,Thriller
890,205,Le Carrè John,La casa Russia,Thriller,Thriller
891,206,Lehane Dennis,La morte non dimentica,Thriller,Thriller
892,207,Lehane Dennis,Un drink prima di uccidere,Thriller,Thriller
893,208,Lehane Dennis,Pioggia nera,Thriller,Thriller
894,209,Leoni Giulio,La crociata delle tenebre,Thriller,Thriller storico
895,210,Leoni Giulio,I delitti del mosaico,Thriller,Thriller storico
896,211,Leoni Giulio,I delitti della luce,Thriller,Thriller storico
897,212,Leroux Gaston,Il fantasma dell'opera,Thriller,Thriller
898,213,Lescroart John,Il tredicesimo giurato,Thriller,Thriller
899,214,Lescroart John,Il verdetto,Thriller,Thriller
900,215,Lindsay Paul,Sadico,Thriller,Thriller
901,216,Link Charlotte,L'ospite sconosciuto,Thriller,Thriller
902,217,Llobera Fernando,Il circolo di Cambridge,Thriller,Thriller
903,218,Loyd Anthony,Apocalisse criminale,Thriller,Thriller
904,219,Ludlum Robert,L'inganno di Prometeo,Thriller,Thriller
905,220,Ludlum Robert,Laboratorio mortale,Thriller,Thriller
906,221,McBain Ed,Money,Thriller,Thriller
907,222,McBain Ed,L'altra parte della città,Thriller,Thriller
908,223,Maitland Barry,Malcontenta,Thriller,Thriller
909,224,Marinina Alexandra,Prede innocenti,Thriller,Thriller
910,225,Marinina Alexandra,Sono morto ieri,Thriller,Thriller
911,226,Marinina Alexandra,Ipnosi mortale,Thriller,Thriller
